,Country/territory,certified,Unnamed: 2,Country,Alpha-2 code,Alpha-3 code,Numeric code,Latitude (average),Longitude (average),cert_2009,cert_2010,cert_2011,cert_2012,cert_2013,cert_2014,cert_2015,cert_2016,cert_2017,cert_2018,cert_2019,cert_2020,cert_2021
50,Romania,1967.0, ,Romania,RO,ROU,642,46.0,25.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0,1967.0
51,Russian Federation,2012.0,,Russian Federation,RU,RUS,643,60.0,100.0,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
52,San Marino,1963.0,,San Marino,SM,SMR,674,43.7667,12.4167,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
53,Serbia,1973.0, ,Serbia,RS,SRB,688,44.0,21.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0
54,Slovakia,1963.0,,Slovakia,SK,SVK,703,48.6667,19.5,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
55,Slovenia,1973.0, ,Slovenia,SI,SVN,705,46.0,15.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0
56,Spain,1964.0, ,Spain,ES,ESP,724,40.0,-4.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0,1964.0
57,Sweden,1963.0,,Sweden,SE,SWE,752,62.0,15.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
58,Switzerland,1963.0,,Switzerland,CH,CHE,756,47.0,8.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
59,Turkmenistan,2010.0, ,Turkmenistan,TM,TKM,795,40.0,60.0,Black,Black,2010.0,2010.0,2010.0,2010.0,2010.0,2010.0,2010.0,2010.0,2010.0,2010.0,2010.0
60,Ukraine,2012.0,,Ukraine,UA,UKR,804,49.0,32.0,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
61,United Kingdom,1963.0,,United Kingdom,GB,GBR,826,54.0,-2.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
62,Uzbekistan,2018.0, ,Uzbekistan,UZ,UZB,860,41.0,64.0,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,2018.0,2018.0,2018.0
63,Antigua and Barbuda,2012.0,,Antigua and Barbuda,AG,ATG,28,17.05,-61.8,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
64,Argentina,2019.0, ,Argentina,AR,ARG,32,-34.0,-64.0,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,2019.0,2019.0
65,Bahamas,2012.0,,Bahamas,BS,BHS,44,24.25,-76.0,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
66,Barbados,1968.0,,Barbados,BB,BRB,52,13.1667,-59.5333,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0
67,Canada,1965.0,,Canada,CA,CAN,124,60.0,-95.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0
68,Chile,1968.0,,Chile,CL,CHL,152,-30.0,-71.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0
69,Cuba,1973.0, ,Cuba,CU,CUB,192,21.5,-80.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0
70,Dominica,1966.0, ,Dominica,DM,DMA,212,15.4167,-61.3333,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0
71,El Salvador,2021.0, ,El Salvador,SV,SLV,222,13.8333,-88.9167,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black
72,Grenada,1962.0, ,Grenada,GD,GRD,308,12.1167,-61.6667,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0
73,Jamaica,1966.0, ,Jamaica,JM,JAM,388,18.25,-77.5,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0,1966.0
74,Paraguay,2018.0, ,Paraguay,PY,PRY,600,-23.0,-58.0,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,2018.0,2018.0,2018.0
75,Saint Kitts and Nevis,2012.0,,Saint Kitts and Nevis,KN,KNA,659,17.3333,-62.75,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
76,Saint Lucia,1962.0, ,Saint Lucia,LC,LCA,662,13.8833,-61.1333,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0,1962.0
77,Saint Vincent and the Grenadines,2012.0,,Saint Vincent and the Grenadines,VC,VCT,670,13.25,-61.2,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
78,Trinidad and Tobago,1965.0, ,Trinidad and Tobago,TT,TTO,780,11.0,-61.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0,1965.0
79,United States,1970.0, ,United States,US,USA,840,38.0,-97.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0,1970.0
80,Uruguay,2012.0,,Uruguay,UY,URY,858,-33.0,-56.0,Black,Black,Black,Black,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0,2012.0
81,Maldives,2015.0, ,Maldives,MV,MDV,462,3.25,73.0,Black,Black,Black,Black,Black,Black,Black,2015.0,2015.0,2015.0,2015.0,2015.0,2015.0
82,Sri Lanka,2016.0, ,Sri Lanka,LK,LKA,144,7.0,81.0,Black,Black,Black,Black,Black,Black,Black,Black,2016.0,2016.0,2016.0,2016.0,2016.0
83,Australia,1981.0, ,Australia,AU,AUS,36,-27.0,133.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0
84,Brunei Darussalam,1987.0, ,Brunei Darussalam,BN,BRN,96,4.5,114.6667,1987.0,1987.0,1987.0,1987.0,1987.0,1987.0,1987.0,1987.0,1987.0,1987.0,1987.0,1987.0,1987.0
85,China,2021.0, ,China,CN,CHN,156,35.0,105.0,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black
86,Cook Islands,1963.0,,Cook Islands,CK,COK,184,-21.2333,-159.7667,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0
