,x,y,amount,person,country
105,4.627004114794097,6.560930203634331,7,#d52d1f,Nigeria
106,135.44598678295847,-3.66839452405837,21,#17B890,Indonesia
107,79.50165883289816,23.781170654151904,4,#d52d1f,India
108,113.17224491123676,24.83913987738285,78,#17B890,China
109,81.03857343996172,6.42946657628656,1,#17B890,Sri Lanka
110,96.00533085084052,68.29694543065708,4,#17B890,Russian Federation
111,90.10969432933645,23.402397696913923,2,#17B890,Bangladesh
112,104.81168781882641,11.362971866246918,2,#17B890,Cambodia
113,83.5594667531231,34.23940199649294,78,#17B890,China
114,62.22353371737968,32.3297132904032,9,#17B890,Afghanistan
115,90.9908358805868,22.99435201186664,1,#d52d1f,Bangladesh
116,46.34580026637613,24.555146448347216,3,#17B890,Saudi Arabia
117,59.970887813449046,32.49983591053096,3,#17B890,"Iran, Islamic Republic of"
118,-76.27965902416759,1.5690728620412226,4,#17B890,Colombia
119,25.970239770855585,-8.144624056738621,13,#17B890,"Congo, the Democratic Republic of the"
120,17.411470771565952,-7.61352569420307,13,#17B890,"Congo, the Democratic Republic of the"
121,7.789566134622078,8.409669276455912,11,#17B890,Nigeria
122,72.62612329309636,32.22908588053508,8,#17B890,Pakistan
123,39.58511904511607,-13.731746398473986,1,#d52d1f,Mozambique
124,30.16369234905096,-2.0272093714295134,2,#17B890,Rwanda
125,7.683372484537821,4.955720384925777,11,#17B890,Nigeria
126,4.688289535402015,6.472708844720116,11,#17B890,Nigeria
127,104.31953308634291,19.48513687587853,4,#17B890,Viet Nam
128,103.29645104952351,-2.44041069192553,21,#17B890,Indonesia
129,23.766860582480355,-6.1736320249157535,2,#d52d1f,"Congo, the Democratic Republic of the"
130,-6.081229444577345,21.692221099855367,1,#d52d1f,Mali
131,69.54082362363717,30.703020132526024,8,#17B890,Pakistan
132,136.11960564000478,-4.006959947471723,21,#17B890,Indonesia
133,12.650473488906403,5.328574297512932,6,#17B890,Cameroon
134,117.13906796613217,2.461080269532637,21,#17B890,Indonesia
135,80.13315512508814,35.535041262597076,78,#17B890,China
136,87.05927676407185,39.75782667596389,78,#17B890,China
137,103.52815090680734,-3.877572866997908,21,#17B890,Indonesia
138,99.0286235658709,39.734556661369865,78,#17B890,China
139,35.103538855131816,-2.0670311819653104,8,#17B890,"Tanzania, United Republic of"
140,87.82660846318552,47.78357459151658,78,#17B890,China
141,30.166861114231963,-4.2460114174174235,8,#17B890,"Tanzania, United Republic of"
142,110.85867739570828,25.098442710016258,78,#17B890,China
143,19.105222497296616,-33.84134796103126,6,#17B890,South Africa
144,113.21706590111229,0.9361672245149926,21,#17B890,Indonesia
145,0.6776306116058808,9.72044475287274,1,#17B890,Togo
146,85.3503878824548,32.996842597818166,78,#17B890,China
147,56.78733673236216,44.740350759268225,1,#17B890,Uzbekistan
148,132.1354885006462,46.63596629307522,78,#17B890,China
