,Unnamed: 0,indicator,ISO Country code,population,surface area (Km2),GINI index,happy planet index 2016,happy planet index 2019,human development index 2017,human development index 2021,sustainable economic development assessment (SEDA),GDP growth (annual %) 2018,GDP growth (annual %) latest,GDP ($ USD billions PPP) 2018,GDP ($ USD billions PPP) 2019,GDP ($ USD billions PPP) 2020,GDP ($ USD billions PPP) 2021,GDP per capita in $ (PPP) 2018,GDP per capita in $ (PPP) 2019,GDP per capita in $ (PPP) 2020,GDP per capita in $ (PPP) 2021,Economic Growth 2018,Economic Growth latest,health expenditure % of GDP 2014,health expenditure % of GDP 2015,health expenditure % of GDP 2016,health expenditure % of GDP 2017,health expenditure % of GDP 2018,health expenditure % of GDP 2019,health expenditure % of GDP 2020,health expenditure % of GDP 2021,health expenditure % of GDP latest,health expenditure per person 2015,health expenditure per person 2018,health expenditure per person 2019,infant mortality,"maternal mortality per 100,000 live births",education expenditure % of GDP 2014,education expenditure % of GDP 2018,education expenditure % of GDP 2021,Education as % of GDP 2018,Education as % of GDP latest,% of primary school aged kids out of school 2018,% of primary school aged kids out of school latest,Unemployment (%) 2018,Unemployment (%) 2021,% of population in extreme poverty,% of population with access to electricity,political rights score 2018,political rights score 2022,civil liberties score 2018,civil liberties score 2021,political stability & absence of violence 2017,political stability & absence of violence 2021,government effectiveness 2017,government effectiveness 2021,regulatory quality 2017,regulatory quality 2021,rule of law 2017,rule of law 2021,control of corruption 2017,control of corruption 2018,judicial effectiveness score 2018,judicial effectiveness score 2022,government integrity score 2018,government integrity score 2022,overall economic freedom score 2017,overall economic freedom score 2022,financial freedom score 2018,financial freedom score 2022,government expenditure (% of GDP),CO2e emissions per capita,share of electricity from renewables generation 2015,share of electricity from renewables generation latest,% of seats held by women in national parliaments 2017,% of seats held by women in national parliaments 2018,% of seats held by women in national parliaments 2021,Military Spending as % of GDP 2021,Military Spending as % of GDP 2019,Country,Alpha-2 code,Alpha-3 code,Numeric code,Latitude (average),Longitude (average),continents,education expenditure % of GDP latest,share of electricity from renewables generation,% of seats held by women in national parliaments
67,67,Guyana,GUY,800000,196849,44.6,,,0.654,0.714,42.8,3.0,19.93,9.7,10.2,14.7,17.6,12776.0,13634.0,19703.0,24494.0,4.44,19.93,4.36,3.9,4.74,4.66,4.45,4.45,4.45,4.45,4.45,336.0,301.4,325.9,4.1,169.0,,4.45,4.45,4.45,4.45,,,11.4,16.42,,92.5,32,30,42,43,-0.04,-0.14,-0.3,-0.2,-0.4,-0.5,-0.29,-0.398,-0.51,-0.17,42.5,47.4,34.8,41.5,58.7,59.5,30.0,30.0,31.2,3.64,,2.4,31.9,32.0,36.0,0.96,1.70,Guyana,GY,GUY,328,5.0,-59.0,South America,4.45,2.4,36.0
68,68,Haiti,HTI,11000000,27560,60.8,28.6,38.2,0.498,0.535,24.2,1.0,-1.8,35.2,34.6,33.5,32.9,3241.0,3203.0,3095.0,3127.0,1.67,-1.8,1.75,1.86,1.4,1.5,1.63,1.63,1.63,1.63,1.63,120.0,63.1,57.0,3.4,480.0,,1.63,1.63,1.63,1.63,,,13.2,15.73,,46.9,17,11,24,22,-0.7,-1.1,-2.1,-2.2,-1.3,-1.3,-1.09,-1.251,-1.24,-1.42,42.5,18.6,24.6,14.3,55.8,50.0,30.0,30.0,21.9,0.29,8.4,13.6,2.5,3.0,3.0,0.19,0.00,Haiti,HT,HTI,332,19.0,-72.4167,North America,1.63,13.6,3.0
69,69,Honduras,HND,9000000,111890,47.1,27.2,57.7,0.617,0.621,41.9,3.6,12.53,54.5,55.9,50.9,57.3,5816.0,5978.0,5420.0,6253.0,3.84,12.53,7.09,6.41,5.16,4.94,6.06,4.91,6.44,6.44,6.44,353.0,180.9,187.6,45.6,65.0,,6.06,6.44,6.06,6.44,15.7,15.7,6.3,8.51,4.3,93.2,20,21,26,26,-0.55,-0.61,-0.5,-0.8,-0.4,-0.5,-1.05,-1.072,-0.72,-1.07,34.5,29.0,28.2,25.4,60.6,59.5,60.0,60.0,27.9,1.05,43.6,57.5,25.8,21.0,27.0,1.61,1.60,Honduras,HN,HND,340,15.0,-86.5,North America,6.44,57.5,27.0
70,70,Hungary,HUN,10000000,89608,28.2,26.4,45.4,0.838,0.846,66.1,2.9,7.1,304.2,318.1,303.9,325.5,62514.0,62103.0,58980.0,65973.0,5.36,7.1,4.6,4.49,4.61,4.61,4.62,4.62,4.62,4.62,4.62,1912.0,1074.0,1062.4,17.3,12.0,4.6,4.62,4.62,4.62,4.62,2.43,2.47,5.2,4.12,0.1,100.0,28,26,44,43,0.81,0.86,0.5,0.6,0.7,0.5,0.53,0.531,0.09,0.04,57.1,62.2,36.4,44.4,66.7,66.9,70.0,70.0,48.5,4.75,11.6,17.9,10.1,13.0,13.0,1.64,1.20,Hungary,HU,HUN,348,47.0,20.0,Europe,4.62,17.9,13.0
71,71,Iceland,ISL,300000,100250,28.0,31.1,48.0,0.935,0.959,83.7,4.0,3.7,20.0,20.5,19.2,19.9,31913.0,33515.0,33274.0,36753.0,4.89,3.7,7.64,7.46,7.43,7.58,7.56,7.56,7.56,7.56,7.56,4116.0,6565.9,6275.0,2.9,4.0,,7.56,7.56,7.56,7.56,4.44,5.47,3.8,5.4,,100.0,37,37,58,57,1.37,1.37,1.5,1.6,1.4,1.5,1.61,1.755,1.84,1.79,72.6,94.8,77.3,85.3,77.0,77.0,70.0,70.0,43.1,4.55,100.0,100.0,47.6,38.0,48.0,0.00,0.00,Iceland,IS,ISL,352,65.0,-18.0,Europe,7.56,100.0,48.0
72,72,India,IND,1339000000,2973193,35.2,29.2,36.4,0.64,0.633,40.0,7.3,8.95,8811.1,9140.5,8537.6,9301.5,6670.0,6972.0,6525.0,7334.0,6.45,8.95,,4.11,4.25,4.31,4.36,4.41,4.47,4.47,4.47,238.0,60.3,63.7,,145.0,,4.36,4.47,4.36,4.47,,5.37,3.5,5.98,1.8,99.0,35,33,42,33,-0.83,-0.62,0.1,0.3,-0.3,-0.1,0.0,-0.081,-0.24,-0.29,54.3,51.5,47.2,42.4,54.5,53.9,40.0,40.0,27.3,1.8,15.1,21.7,11.8,12.0,14.0,2.66,2.40,India,IN,IND,356,20.0,77.0,Asia,4.47,21.7,14.0
73,73,Indonesia,IDN,264000000,1811569,36.8,35.7,49.6,0.694,0.705,46.4,4.8,3.69,3043.9,3196.7,3130.6,3246.2,11643.0,12311.0,12072.0,12904.0,5.17,3.69,3.29,3.58,3.5,2.67,3.0,2.84,2.84,2.84,2.84,369.0,111.7,120.1,42.6,177.0,3.3,3.0,2.84,3.0,2.84,5.62,5.62,5.6,4.41,0.5,96.9,30,30,34,29,-0.51,-0.51,0.0,0.4,-0.1,0.3,-0.35,-0.225,-0.25,-0.43,45.2,43.2,42.8,39.9,64.2,64.4,60.0,60.0,17.6,2.29,11.2,17.7,19.8,20.0,21.0,0.70,0.70,Indonesia,ID,IDN,360,-5.0,120.0,Asia,2.84,17.7,21.0
74,74,Iran,IRN,81000000,1531595,44.5,24.0,43.6,0.798,0.774,48.0,0.0,1.76,1252.5,1235.7,1257.5,0.0,15677.0,15533.0,15791.0,15791.0,-2.25,1.76,2.8,2.8,3.37,3.79,3.96,3.66,3.59,3.59,3.59,1262.0,484.3,470.4,21.3,16.0,2.8,3.96,3.59,3.96,3.59,,0.14,11.3,11.46,0.2,100.0,7,4,11,10,-0.93,-1.62,-0.2,-0.9,-1.2,-1.6,-0.68,-0.947,-0.81,-1.1,35.3,29.4,32.6,19.8,50.9,42.4,10.0,10.0,17.2,7.6,5.4,9.4,5.9,6.0,6.0,2.30,2.30,"Iran, Islamic Republic of",IR,IRN,364,32.0,53.0,Asia,3.59,9.4,6.0
75,75,Iraq,IRQ,38000000,437367,,26.5,45.3,0.685,0.686,37.0,2.4,2.78,405.7,428.1,379.6,390.2,10808.0,11349.0,9954.0,10409.0,2.63,2.78,,4.49,4.71,4.71,4.71,4.71,4.71,4.71,4.71,481.0,239.4,253.3,1.5,79.0,,,,,,,,16.0,14.19,,100.0,16,16,15,13,-2.33,-2.4,-1.3,-1.3,-1.2,-1.1,-1.64,-1.732,-1.37,-1.25,11.4,11.4,23.4,23.4,,,,,42.7,4.44,3.9,2.8,25.3,25.0,29.0,2.28,3.50,Iraq,IQ,IRQ,368,33.0,44.0,Asia,,2.8,29.0
76,76,Ireland,IRL,4700000,68883,31.3,30.0,51.1,0.938,0.945,80.3,7.8,13.48,407.5,427.6,452.6,513.7,84556.0,87380.0,93350.0,106456.0,9.03,13.48,4.88,3.76,3.74,3.51,3.39,3.39,3.39,3.39,3.39,5335.0,5484.2,5428.6,11.1,5.0,,3.39,3.39,3.39,3.39,0.0,0.14,8.1,6.63,,100.0,39,39,57,58,1.02,0.86,1.3,1.5,1.6,1.6,1.43,1.53,1.55,1.65,79.0,93.0,79.0,80.7,80.4,82.0,70.0,70.0,31.9,7.25,29.7,42.4,22.2,22.0,23.0,0.26,0.30,Ireland,IE,IRL,372,53.0,-8.0,Europe,3.39,42.4,23.0
77,77,Israel,ISR,9000000,20330,42.8,28.8,48.2,0.903,0.919,66.5,2.6,8.19,354.5,367.8,359.9,389.4,39906.0,40004.0,39489.0,43722.0,3.98,8.19,5.77,5.86,5.86,6.06,6.11,6.11,6.11,6.11,6.11,2819.0,3329.2,3456.4,2.5,3.0,5.7,6.11,6.11,6.11,6.11,0.31,0.5,5.6,5.05,0.2,100.0,36,34,43,42,-0.88,-1.06,1.4,1.3,1.3,1.2,1.02,0.942,0.83,0.86,83.1,85.0,61.2,65.2,72.2,68.0,70.0,70.0,40.1,6.92,2.0,6.3,27.5,28.0,28.0,5.17,5.30,Israel,IL,ISR,376,31.5,34.75,Asia,6.11,6.3,28.0
78,78,Italy,ITA,61000000,294140,31.9,28.1,50.7,0.88,0.895,69.1,0.8,6.64,2540.5,2553.2,2322.8,2477.1,43036.0,44376.0,41988.0,45936.0,0.93,6.64,4.06,4.07,3.82,4.04,4.26,4.26,4.26,4.26,4.26,3351.0,3000.7,2905.5,11.4,2.0,4.1,4.26,4.26,4.26,4.26,3.15,3.5,11.5,9.83,1.0,100.0,36,36,53,54,0.24,0.58,0.5,0.4,0.7,0.5,0.32,0.269,0.19,0.54,60.9,78.6,40.1,57.3,62.5,65.4,50.0,50.0,50.3,5.31,40.9,44.2,31.0,36.0,36.0,1.52,1.40,Italy,IT,ITA,380,42.8333,12.8333,Europe,4.26,44.2,36.0
79,79,Jamaica,JAM,2800000,10831,35.0,36.9,57.9,0.732,0.709,49.7,1.1,4.6,28.6,28.8,25.9,27.1,9967.0,10190.0,9241.0,10026.0,1.89,4.6,6.02,5.46,5.31,5.26,5.41,5.16,5.62,6.03,6.03,511.0,319.9,327.4,12.9,80.0,6.0,5.41,6.03,5.41,6.03,26.46,33.3,13.3,9.18,,100.0,34,34,43,46,0.25,0.22,0.5,0.4,0.1,0.2,-0.16,-0.168,-0.17,-0.03,56.6,70.6,39.4,49.0,69.1,67.4,50.0,50.0,27.6,2.85,10.8,11.9,17.5,17.0,29.0,1.41,1.60,Jamaica,JM,JAM,388,18.25,-77.5,North America,6.03,11.9,29.0
80,80,Japan,JPN,127000000,364485,37.9,28.3,47.1,0.909,0.925,75.2,0.5,1.62,5293.0,5280.3,5042.3,5124.0,42116.0,42283.0,42100.0,42940.0,0.58,1.62,3.55,3.55,3.15,3.13,3.08,3.08,3.08,3.08,3.08,4405.0,4256.1,4360.5,8.9,5.0,3.6,3.08,3.08,3.08,3.08,,,3.1,2.8,,100.0,40,40,56,56,1.12,1.03,1.6,1.4,1.4,1.4,1.57,1.579,1.52,1.57,73.2,95.3,79.2,81.4,72.3,69.9,60.0,60.0,39.1,8.54,17.4,25.8,9.3,10.0,10.0,1.07,0.90,Japan,JP,JPN,392,36.0,138.0,Asia,3.08,25.8,10.0
81,81,Jordan,JOR,10000000,88802,39.7,,43.9,0.735,0.72,48.7,2.5,2.21,99.8,101.7,100.2,102.4,10253.0,10496.0,10354.0,10952.0,1.93,2.21,3.8,3.45,3.45,3.23,2.98,2.99,2.99,2.99,2.99,568.0,335.2,334.0,1.8,46.0,,2.98,2.99,2.98,2.98,19.02,20.08,13.2,19.25,,99.9,12,11,25,22,-0.53,-0.28,0.1,0.2,0.1,0.2,0.26,0.213,0.26,0.05,57.3,42.6,51.9,49.5,64.9,60.1,60.0,60.0,32.0,2.44,1.0,15.5,15.4,15.0,12.0,5.02,4.70,Jordan,JO,JOR,400,31.0,36.0,Asia,2.99,15.5,12.0
82,82,Kazakhstan,KAZ,18000000,2699700,26.3,19.1,38.6,0.8,0.811,57.7,1.2,4.0,466.9,487.9,475.7,494.7,26155.0,27464.0,26750.0,28600.0,4.1,4.0,3.42,2.79,2.98,2.75,2.62,2.86,2.86,2.86,2.86,903.0,275.9,273.0,31.2,10.0,,2.62,2.86,2.62,2.62,0.99,9.61,5.2,4.9,0.0,100.0,5,5,17,18,0.02,-0.25,0.0,0.1,0.2,0.1,-0.41,-0.487,-0.82,-0.24,58.1,34.5,44.6,37.9,69.1,64.4,50.0,50.0,22.2,11.46,9.3,11.1,27.1,27.0,27.0,0.87,1.10,Kazakhstan,KZ,KAZ,398,48.0,68.0,Asia,2.86,11.1,27.0
83,83,Kenya,KEN,50000000,569140,48.5,24.2,45.2,0.59,0.575,35.4,5.6,7.52,223.0,234.4,233.9,251.4,4443.0,4647.0,4587.0,5024.0,5.65,7.52,4.72,4.74,4.9,4.96,5.11,4.97,5.08,4.8,4.8,157.0,73.5,83.4,15.7,342.0,5.3,5.11,4.8,5.11,4.8,,,11.0,5.74,,71.4,19,19,29,29,-1.08,-1.09,-0.3,-0.3,-0.2,-0.4,-0.41,-0.39,-0.96,-0.71,44.0,39.0,27.5,30.9,54.7,52.6,50.0,50.0,27.4,0.42,88.2,88.5,21.8,22.0,22.0,1.12,1.20,Kenya,KE,KEN,404,1.0,38.0,Africa,4.8,88.5,22.0
84,84,Korea (Dem. People’s Rep.),PRK,25000000,120408,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,2198.0,2192.0,2172.0,2172.0,,,11.23,9.86,10.09,10.86,11.97,12.39,12.39,12.39,12.39,,,,2.7,89.0,,,,,,,,4.3,2.59,,52.3,0,0,3,3,-0.48,-0.45,-1.7,-1.6,-2.3,-2.3,-1.71,-1.626,-1.48,-1.61,5.0,6.5,25.2,3.8,5.8,3.0,0.0,0.0,,2.18,2.1,7.6,16.3,16.0,18.0,,,"Korea, Democratic People's Republic of",KP,PRK,408,40.0,127.0,Asia,,7.6,18.0
85,85,Korea (Rep.),KOR,51000000,96920,35.7,24.8,39.8,0.903,0.925,,2.6,4.02,2164.8,2213.4,2194.5,2282.8,,,,,2.91,4.02,,,,,,,,,,,2543.6,2624.5,7.6,11.0,5.1,4.46,4.46,4.46,4.46,0.92,0.01,3.7,3.53,,100.0,33,33,51,50,0.29,0.66,1.1,1.4,1.1,1.1,1.16,1.127,0.48,0.76,63.7,77.1,49.9,69.2,73.8,74.6,70.0,60.0,32.3,11.8,73.8,85.0,17.0,17.0,19.0,2.78,2.70,"Korea, Republic of",KR,KOR,410,37.0,127.5,Asia,4.46,85.0,19.0
86,86,Kuwait,KWT,4200000,17818,,,33.3,0.803,0.831,65.7,0.9,-8.86,211.3,210.1,191.5,0.0,52291.0,52055.0,47303.0,47303.0,2.43,2.43,4.4,4.77,5.85,6.37,6.39,6.49,6.55,6.55,6.55,2978.0,1733.8,1758.7,13.7,12.0,,6.39,6.55,6.39,6.55,,,2.4,3.71,,100.0,13,14,23,23,-0.04,0.3,-0.2,0.0,-0.1,0.2,0.1,0.261,-0.33,-0.03,53.5,42.0,36.6,43.8,62.2,58.3,60.0,60.0,51.5,22.02,,0.1,3.1,3.0,2.0,6.69,5.60,Kuwait,KW,KWT,414,29.3375,47.6581,Asia,6.55,0.1,2.0
87,87,Kyrgyzstan,KGZ,6000000,191801,33.4,33.1,53.7,0.672,0.692,45.4,3.5,3.61,32.5,33.9,31.1,32.2,5256.0,5480.0,4985.0,5288.0,3.76,3.61,5.53,5.99,6.59,6.03,5.55,5.37,5.37,5.37,5.55,287.0,65.7,62.1,22.0,60.0,5.5,5.55,5.37,5.55,5.37,0.29,0.12,7.7,9.1,0.2,100.0,12,4,25,23,-0.43,-0.43,-0.7,-0.7,-0.4,-0.6,-0.93,-1.074,-1.05,-1.12,22.1,11.8,29.4,28.8,62.8,55.8,50.0,50.0,37.3,1.56,85.8,92.4,19.2,19.0,20.0,1.67,1.50,Kyrgyzstan,KG,KGZ,417,41.0,75.0,Asia,5.37,92.4,20.0
88,88,Laos,LAO,7000000,230800,36.7,,42.8,0.601,0.607,37.8,7.0,2.53,53.6,56.5,56.8,58.3,7774.0,8220.0,8238.0,8674.0,6.25,2.53,2.94,2.94,2.94,2.52,2.37,2.3,2.23,2.23,2.23,,57.7,68.2,6.0,185.0,2.9,2.37,2.23,2.37,2.23,8.51,8.24,1.5,1.26,1.2,100.0,1,2,11,11,0.43,0.73,-0.4,-0.6,-0.7,-0.9,-0.88,-0.642,-0.94,-1.04,41.4,11.1,33.1,20.4,53.6,49.2,20.0,20.0,26.3,2.61,96.5,64.4,27.5,28.0,22.0,0.20,0.20,Lao People's Democratic Republic,LA,LAO,418,18.0,105.0,Asia,2.23,64.4,22.0
89,89,Latvia,LVA,2000000,62249,34.5,17.1,34.1,0.847,0.863,66.1,2.7,4.48,57.9,59.4,57.1,59.7,30877.0,31883.0,31425.0,34469.0,3.99,4.48,5.28,5.28,4.66,4.37,4.24,4.24,4.24,4.24,4.24,1429.0,1101.5,1166.8,,19.0,5.3,4.24,4.24,4.24,4.24,1.13,1.18,9.9,7.6,0.2,100.0,35,37,52,51,0.46,0.69,0.9,0.9,1.2,1.2,0.93,0.981,0.54,0.75,58.9,75.1,45.4,61.1,73.6,74.8,60.0,60.0,37.0,3.96,51.5,66.6,16.0,31.0,29.0,2.28,2.00,Latvia,LV,LVA,428,57.0,25.0,Europe,4.24,66.6,29.0
90,90,Lebanon,LBN,4600000,10230,,21.9,39.0,0.757,0.706,44.8,1.0,-10.52,106.7,99.4,73.6,65.9,15933.0,15105.0,11377.0,10691.0,-1.88,-10.52,2.0,2.1,2.12,2.13,2.52,2.59,2.59,2.59,2.52,1117.0,695.1,663.1,58.1,29.0,,2.52,2.59,2.52,2.52,,,6.8,14.49,,100.0,11,13,32,29,-1.59,-1.49,-0.5,-1.3,-0.3,-0.9,-0.82,-1.074,-1.0,-1.23,33.6,27.4,20.2,22.8,53.2,47.3,50.0,50.0,26.9,4.08,2.8,3.9,3.1,5.0,5.0,4.20,4.20,Lebanon,LB,LBN,422,33.8333,35.8333,Asia,2.59,3.9,5.0
91,91,Lesotho,LSO,1900000,30355,63.2,16.7,27.3,0.52,0.514,29.5,2.5,1.02,5.5,5.6,5.2,5.3,2677.0,2768.0,2569.0,2682.0,-1.22,1.02,7.2,9.0,7.76,8.16,7.29,7.99,7.67,8.7,8.7,251.0,124.7,124.2,7.7,544.0,,7.29,8.7,7.29,8.7,6.82,6.82,27.4,24.6,,47.4,27,27,37,36,-0.25,-0.22,-0.9,-0.9,-0.3,-0.7,-0.27,-0.41,-0.03,-0.32,52.7,44.1,32.9,42.8,53.9,48.1,40.0,40.0,50.4,0.36,100.0,100.0,22.9,22.0,23.0,1.29,1.50,Lesotho,LS,LSO,426,-29.5,28.5,Africa,8.7,100.0,23.0
92,92,Liberia,LBR,4400000,96320,32.0,22.2,46.0,0.435,0.481,30.6,0.0,4.0,7.4,7.3,7.0,7.3,1581.0,1532.0,1468.0,1553.0,1.16,4.0,2.2,2.17,2.15,2.66,2.5,2.27,2.31,2.69,2.69,128.0,61.2,52.6,9.5,661.0,,2.5,2.69,2.5,2.69,,,4.0,4.09,,27.5,27,27,35,33,-0.41,-0.24,-1.4,-1.4,-1.0,-1.0,-0.97,-0.926,-0.69,-0.92,42.4,23.4,32.0,25.1,50.9,47.9,20.0,20.0,36.8,0.24,,1.3,12.3,12.0,11.0,0.95,0.50,Liberia,LR,LBR,430,6.5,-9.5,Africa,2.69,1.3,11.0
93,93,Libya,LBY,6000000,1759540,,,42.7,0.706,0.718,,-6.4,31.37,166.7,148.0,112.6,147.9,25557.0,22764.0,17286.0,23357.0,7.94,31.37,,,,,,,,,,,,,22.0,72.0,,,,,,,,19.2,19.58,,69.7,1,1,8,8,-2.33,-2.37,-1.8,-1.7,-2.2,-2.0,-1.78,-1.784,-1.59,-1.57,22.1,22.1,23.1,23.1,,,,,92.9,8.38,,0.0,16.0,16.0,16.0,15.50,15.50,Libyan Arab Jamahiriya,LY,LBY,434,25.0,17.0,Africa,,0.0,16.0
94,94,Lithuania,LTU,2900000,62680,37.9,21.0,36.9,0.858,0.875,67.4,1.6,5.0,99.3,103.8,103.7,108.9,36376.0,38541.0,38881.0,42665.0,3.99,5.0,4.49,4.23,4.0,3.81,3.89,3.89,3.89,3.89,3.89,1875.0,1249.0,1370.0,2.3,8.0,4.5,4.5,4.5,3.89,3.89,0.18,0.1,9.2,7.9,0.4,100.0,38,38,53,51,0.78,0.82,1.0,1.1,1.2,1.3,0.99,1.11,2.06,0.85,66.7,74.6,50.9,66.6,75.3,75.8,70.0,70.0,34.7,4.2,48.1,71.3,21.3,21.0,28.0,2.02,2.00,Lithuania,LT,LTU,440,56.0,24.0,Europe,4.5,71.3,28.0
95,95,Luxembourg,LUX,600000,2586,30.4,13.2,31.7,0.904,0.93,83.2,4.5,6.89,69.9,72.2,71.0,75.8,116966.0,117342.0,117846.0,134754.0,2.0,6.89,3.86,3.77,3.77,3.49,3.65,3.65,3.65,3.65,3.65,6382.0,6227.1,6220.7,3.4,5.0,4.0,3.89,3.89,3.65,3.65,1.0,0.62,5.9,5.23,0.1,100.0,38,38,60,59,1.34,1.21,1.7,1.7,1.7,1.9,1.74,1.787,1.99,1.87,77.9,96.4,79.0,89.5,76.4,80.6,80.0,80.0,41.4,15.31,,,28.3,20.0,35.0,0.63,0.60,Luxembourg,LU,LUX,442,49.75,6.1667,Europe,3.89,,35.0
96,96,Macedonia,MKD,2100000,25433,33.7,23.4,43.9,,23.4,52.5,3.7,3.96,33.5,34.8,32.7,34.0,16796.0,17546.0,16720.0,17918.0,2.88,3.96,2.05,3.0,3.1,2.71,2.73,3.06,6.3,6.3,6.3,857.0,399.1,436.9,,,,3.65,3.65,,,3.0,3.53,26.7,16.2,1.2,100.0,21,28,37,39,-0.25,0.12,0.1,-0.1,0.5,0.4,-0.24,-0.076,-0.31,-0.35,57.0,50.2,47.4,38.7,71.3,65.7,60.0,60.0,31.5,4.0,32.7,28.6,34.2,34.2,34.2,1.54,1.20,"Macedonia, the former Yugoslav Republic of",MK,MKD,807,41.8333,22.0,Europe,3.65,28.6,34.2
97,97,Madagascar,MDG,26000000,581540,41.0,,44.2,0.519,0.501,31.1,3.0,4.4,41.8,43.7,40.5,42.3,1630.0,1687.0,1544.0,1635.0,3.2,4.4,2.38,2.21,2.69,2.7,2.84,2.99,3.1,3.1,3.1,77.0,22.3,19.8,5.5,335.0,,2.84,3.1,2.84,3.1,1.96,2.32,2.1,2.59,,33.7,24,27,32,34,-0.33,-0.64,-1.1,-1.0,-0.7,-0.8,-0.86,-0.867,-1.05,-0.93,21.4,33.4,17.8,23.0,56.8,58.9,50.0,50.0,15.4,0.15,59.7,41.3,19.2,19.0,18.0,0.77,0.60,Madagascar,MG,MDG,450,-20.0,47.0,Africa,3.1,41.3,18.0
98,98,Malawi,MWI,19000000,94080,46.1,22.1,38.7,0.477,0.512,32.5,3.0,2.75,27.2,28.6,28.9,29.7,1532.0,1602.0,1591.0,1658.0,4.39,2.75,4.84,5.61,4.75,4.03,3.32,3.71,2.91,2.91,2.91,108.0,37.4,30.4,7.4,349.0,4.8,3.32,2.91,3.32,3.71,,,6.7,7.02,29.3,14.9,26,29,37,37,-0.27,-0.11,-0.7,-0.8,-0.8,-0.8,-0.37,-0.238,-0.65,-0.3,47.1,53.0,28.9,29.4,52.0,53.0,50.0,50.0,31.3,0.08,99.1,88.8,16.7,17.0,23.0,0.95,0.90,Malawi,MW,MWI,454,-13.5,34.0,Africa,2.91,88.8,23.0
99,99,Malaysia,MYS,32000000,328657,46.2,30.3,41.7,0.802,0.803,59.8,5.0,3.13,869.5,908.1,856.8,883.6,28236.0,29621.0,27921.0,29617.0,4.84,3.13,5.21,4.89,4.75,4.68,4.48,4.16,3.92,3.92,3.92,1064.0,426.5,436.6,5.3,29.0,5.2,4.48,3.92,4.48,3.92,0.26,1.6,3.3,4.61,,100.0,18,20,27,30,0.16,0.14,0.8,1.0,0.7,0.7,0.41,0.558,0.03,0.17,65.2,57.6,54.8,53.9,74.5,68.1,50.0,50.0,24.9,7.93,10.4,17.9,10.4,14.0,15.0,1.06,1.00,Malaysia,MY,MYS,458,2.5,112.5,Asia,3.92,17.9,15.0
100,100,Maldives,MDV,400000,298,38.4,,,0.717,0.747,,1.9,30.96,9.7,10.4,6.9,9.0,19243.0,20334.0,13442.0,18232.0,8.12,30.96,3.09,3.89,3.69,3.89,3.91,4.12,4.12,4.12,4.12,1514.0,786.4,854.4,17.8,53.0,3.5,3.91,4.12,3.91,4.12,3.42,2.0,3.2,6.08,,100.0,14,19,21,21,0.26,0.5,-0.5,0.4,-0.4,-0.5,-0.62,-0.172,-0.79,-0.37,38.8,32.1,36.6,43.1,51.1,47.3,30.0,30.0,42.6,3.97,,0.4,5.9,6.0,5.0,,,Maldives,MV,MDV,462,3.25,73.0,Asia,4.12,0.4,5.0
101,101,Mali,MLI,19000000,1220190,40.1,,39.3,0.427,0.428,29.7,6.1,3.07,43.6,45.6,45.1,46.5,2338.0,2420.0,2348.0,2447.0,4.75,3.07,3.65,3.8,3.09,3.79,3.91,3.48,3.76,3.76,3.76,118.0,33.4,34.3,5.6,562.0,3.6,3.91,3.76,3.91,3.76,40.99,40.99,8.1,7.72,3.0,50.6,17,8,27,24,-1.91,-2.35,-0.9,-1.2,-0.6,-0.6,-0.78,-0.902,-0.63,-0.87,32.4,34.1,31.4,28.3,57.6,55.9,40.0,40.0,22.2,0.3,54.0,31.5,8.8,9.0,27.0,2.82,2.70,Mali,ML,MLI,466,17.0,-4.0,Africa,3.76,31.5,27.0
102,102,Malta,MLT,400000,316,28.1,29.0,43.5,0.878,0.918,68.8,6.3,9.41,21.6,22.9,21.0,22.9,45569.0,47408.0,43243.0,47714.0,6.03,9.41,7.0,5.02,5.08,4.65,4.65,4.65,4.65,4.65,4.65,3471.0,2753.5,2531.9,35.0,6.0,7.2,7.2,7.2,,,,,5.3,3.5,0.1,100.0,36,35,56,54,1.27,0.97,1.0,0.9,1.3,0.8,1.14,0.864,0.74,0.32,62.8,89.9,49.9,55.8,68.5,71.5,60.0,50.0,40.4,3.29,7.9,11.5,11.9,12.0,13.0,0.51,0.60,Malta,MT,MLT,470,35.8333,14.5833,Europe,7.2,11.5,13.0
103,103,Mauritania,MRT,3800000,1030700,37.0,18.0,34.7,0.52,0.556,28.9,1.9,2.3,22.9,24.2,23.8,24.3,5317.0,5570.0,5390.0,5592.0,4.53,2.3,,,1.94,1.94,1.94,1.82,1.88,1.88,1.88,177.0,57.3,57.9,14.8,766.0,,15.2,15.75,15.2,15.75,19.69,23.14,11.7,11.46,,47.3,9,14,21,21,-0.62,-0.67,-0.7,-0.7,-0.8,-1.1,-0.6,-0.671,-0.75,-0.82,17.6,29.9,28.9,23.5,54.0,55.3,40.0,40.0,30.1,0.87,,,25.2,20.0,20.0,2.38,2.80,Mauritania,MR,MRT,478,20.0,-12.0,Africa,15.75,,20.0
