,Unnamed: 0,indicator,ISO Country code,population,surface area (Km2),GINI index,happy planet index 2016,happy planet index 2019,human development index 2017,human development index 2021,sustainable economic development assessment (SEDA),GDP growth (annual %) 2018,GDP growth (annual %) latest,GDP ($ USD billions PPP) 2018,GDP ($ USD billions PPP) 2019,GDP ($ USD billions PPP) 2020,GDP ($ USD billions PPP) 2021,GDP per capita in $ (PPP) 2018,GDP per capita in $ (PPP) 2019,GDP per capita in $ (PPP) 2020,GDP per capita in $ (PPP) 2021,Economic Growth 2018,Economic Growth latest,health expenditure % of GDP 2014,health expenditure % of GDP 2015,health expenditure % of GDP 2016,health expenditure % of GDP 2017,health expenditure % of GDP 2018,health expenditure % of GDP 2019,health expenditure % of GDP 2020,health expenditure % of GDP 2021,health expenditure % of GDP latest,health expenditure per person 2015,health expenditure per person 2018,health expenditure per person 2019,infant mortality,"maternal mortality per 100,000 live births",education expenditure % of GDP 2014,education expenditure % of GDP 2018,education expenditure % of GDP 2021,Education as % of GDP 2018,Education as % of GDP latest,% of primary school aged kids out of school 2018,% of primary school aged kids out of school latest,Unemployment (%) 2018,Unemployment (%) 2021,% of population in extreme poverty,% of population with access to electricity,political rights score 2018,political rights score 2022,civil liberties score 2018,civil liberties score 2021,political stability & absence of violence 2017,political stability & absence of violence 2021,government effectiveness 2017,government effectiveness 2021,regulatory quality 2017,regulatory quality 2021,rule of law 2017,rule of law 2021,control of corruption 2017,control of corruption 2018,judicial effectiveness score 2018,judicial effectiveness score 2022,government integrity score 2018,government integrity score 2022,overall economic freedom score 2017,overall economic freedom score 2022,financial freedom score 2018,financial freedom score 2022,government expenditure (% of GDP),CO2e emissions per capita,share of electricity from renewables generation 2015,share of electricity from renewables generation latest,% of seats held by women in national parliaments 2017,% of seats held by women in national parliaments 2018,% of seats held by women in national parliaments 2021,Military Spending as % of GDP 2021,Military Spending as % of GDP 2019,Country,Alpha-2 code,Alpha-3 code,Numeric code,Latitude (average),Longitude (average),continents,education expenditure % of GDP latest,share of electricity from renewables generation,% of seats held by women in national parliaments
20,20,Botswana,BWA,2200000,566730,60.5,16.6,31.9,0.717,0.693,44.1,-0.3,11.36,36.6,37.8,34.5,38.4,16610.0,17097.0,15471.0,17604.0,3.98,11.36,,7.81,7.97,7.3,6.72,6.91,8.74,8.74,8.74,970.0,494.2,481.5,77.5,144.0,,6.72,8.74,6.72,8.74,,,18.4,24.72,,72.0,28,28,44,44,1.03,0.98,0.4,0.4,0.5,0.6,0.51,0.482,0.8,0.69,54.7,70.1,56.6,61.4,69.9,64.8,70.0,70.0,34.9,3.15,0.0,0.2,9.5,10.0,11.0,2.86,2.80,Botswana,BW,BWA,72,-22.0,24.0,Africa,8.74,0.2,11.0
21,21,Brazil,BRA,209000000,8358140,49.0,34.3,54.6,0.759,0.754,51.6,-3.8,4.62,3072.5,3110.1,2989.4,3127.5,15019.0,15358.0,14834.0,16056.0,1.78,4.62,5.95,6.24,6.31,6.32,6.09,6.09,6.09,6.09,6.09,1392.0,866.2,853.4,11.4,60.0,5.9,6.09,6.09,6.09,6.09,0.52,0.52,11.5,14.4,0.7,100.0,31,31,47,42,-0.41,-0.49,-0.3,-0.5,-0.1,-0.1,-0.28,-0.28,-0.53,-0.48,55.5,57.2,31.4,40.0,51.4,53.3,50.0,50.0,40.5,2.06,75.0,86.0,10.7,15.0,15.0,1.19,1.50,Brazil,BR,BRA,76,-10.0,-55.0,South America,6.09,86.0,15.0
22,22,Brunei,BRN,400000,5265,,,,0.853,0.829,72.5,-0.2,-1.61,25.9,26.9,27.2,26.8,61832.0,64719.0,65607.0,66620.0,0.05,-1.61,3.35,3.35,4.43,4.43,4.43,4.43,4.43,4.43,4.43,2083.0,763.1,671.6,23.2,10.0,3.4,3.4,3.4,,,0.77,1.68,2.0,7.65,,100.0,6,7,22,21,1.19,1.17,1.1,1.5,0.7,1.0,0.65,0.89,0.71,1.25,57.1,51.6,45.4,61.1,64.2,64.8,50.0,50.0,37.5,16.13,0.1,0.0,9.1,9.0,9.0,3.26,3.30,Brunei Darussalam,BN,BRN,96,4.5,114.6667,Asia,3.4,0.0,9.0
23,23,Bulgaria,BGR,7000000,108489,40.2,20.4,40.1,0.813,0.795,59.9,3.0,4.18,156.0,162.3,155.2,161.7,23016.0,24498.0,24564.0,26705.0,2.68,4.18,,,,4.08,4.08,4.08,4.08,4.08,4.08,1492.0,689.9,697.9,5.8,320.0,,,,,,13.3,13.3,8.0,5.42,0.3,99.7,33,33,47,46,0.37,0.46,0.3,-0.1,0.6,0.4,-0.04,-0.044,-0.16,-0.24,42.5,61.1,38.2,45.6,68.3,71.0,60.0,60.0,36.3,5.61,18.8,21.1,23.8,24.0,24.0,1.59,3.20,Bulgaria,BG,BGR,100,43.0,25.0,Europe,,21.1,24.0
24,24,Burkina Faso,BFA,19000000,273800,39.5,17.9,41.5,0.423,0.449,33.4,4.0,6.91,41.8,44.2,45.1,48.2,2168.0,2267.0,2274.0,2462.0,6.6,6.91,4.05,3.67,3.67,5.63,5.49,5.7,5.52,5.52,5.52,96.0,40.3,42.3,24.3,548.0,4.6,5.49,5.52,5.49,5.52,20.66,24.5,3.0,4.76,8.4,19.0,23,23,37,30,-0.92,-1.64,-0.6,-0.7,-0.4,-0.5,-0.4,-0.438,-0.11,-0.06,47.1,36.3,31.8,41.4,60.0,58.3,40.0,40.0,23.3,0.25,9.9,12.5,11.0,11.0,6.0,2.89,2.40,Burkina Faso,BF,BFA,854,13.0,-2.0,Africa,5.52,12.5,6.0
25,25,Burundi,BDI,11000000,25680,42.4,15.6,37.7,0.417,0.426,28.3,-4.1,1.8,8.5,8.7,8.7,8.8,780.0,783.0,771.0,793.0,1.61,1.8,6.78,6.37,4.69,4.76,5.08,5.35,5.04,5.04,5.04,64.0,22.4,20.6,3.4,,,5.08,5.04,5.08,5.04,6.39,10.11,1.6,1.79,,11.7,4,4,14,10,-1.97,-1.36,-1.3,-1.3,-0.8,-1.0,-1.4,-1.294,-1.28,-1.58,21.7,7.1,26.2,12.2,50.9,39.4,30.0,30.0,26.7,0.06,87.0,65.5,36.4,36.0,38.0,1.92,1.80,Burundi,BI,BDI,108,-3.5,30.0,Africa,5.04,65.5,38.0
26,26,Cabo Verde,CPV,500000,4033,,,,0.654,0.662,,1.8,6.95,3.7,3.9,3.4,3.6,7028.0,7475.0,6376.0,7028.0,4.53,6.95,4.96,5.27,5.29,5.18,5.37,4.73,7.58,7.58,7.58,310.0,190.5,177.9,6.7,58.0,5.0,5.37,7.58,5.37,7.58,6.45,6.45,10.5,10.5,,94.2,37,38,53,54,0.9,0.9,0.2,0.2,-0.2,-0.2,0.41,0.41,0.84,0.84,52.0,77.4,42.8,60.9,60.0,66.7,60.0,60.0,30.8,1.18,30.7,19.0,23.6,24.0,39.0,,,Cape Verde,CV,CPV,132,16.0,-24.0,Africa,7.58,19.0,39.0
27,27,Cambodia,KHM,16000000,176515,37.9,25.6,48.0,0.582,0.593,38.5,6.9,3.03,67.6,72.4,70.1,72.2,4259.0,4574.0,4423.0,4683.0,7.47,3.03,1.91,2.6,2.8,3.2,2.16,2.16,2.16,2.16,2.16,210.0,92.9,113.3,39.2,160.0,1.9,2.16,2.16,2.16,2.16,9.31,10.85,0.3,15.42,,86.4,10,5,20,19,0.17,-0.13,-0.7,-0.4,-0.5,-0.6,-1.06,-0.9,-1.29,-1.18,24.5,20.9,17.7,12.3,58.7,57.1,50.0,50.0,21.2,0.98,47.7,50.1,20.3,20.0,22.0,2.32,2.30,Cambodia,KH,KHM,116,13.0,105.0,Asia,2.16,50.1,22.0
28,28,Cameroon,CMR,24000000,472710,44.6,16.7,39.9,0.556,0.576,32.1,5.9,3.49,93.6,96.9,97.3,100.7,3801.0,3901.0,3867.0,4064.0,3.96,3.49,2.58,2.66,2.56,3.06,3.03,3.08,3.17,3.17,3.17,163.0,53.2,54.0,63.8,529.0,,3.03,3.17,3.03,3.17,,,4.5,0.61,,64.7,9,6,13,9,-1.08,-1.41,-0.8,-0.9,-0.8,-0.9,-1.02,-1.097,-1.18,-1.09,29.4,10.9,23.4,19.9,51.9,52.9,50.0,50.0,21.6,0.36,77.0,64.3,31.1,31.0,34.0,1.02,1.10,Cameroon,CM,CMR,120,6.0,12.0,Africa,3.17,64.3,34.0
29,29,Canada,CAN,37000000,9093507,32.1,23.9,40.2,0.926,0.936,76.9,1.2,4.56,1814.8,1848.9,1752.2,1832.1,49993.0,49299.0,46572.0,52085.0,2.78,4.56,,,,,,,,,,4600.0,5018.7,5048.4,3.9,10.0,,,,,,0.21,0.21,7.1,3.87,,100.0,40,40,59,58,1.11,0.94,1.9,1.6,1.9,1.6,1.8,1.627,1.92,1.65,77.1,96.4,78.3,86.7,77.7,76.6,80.0,80.0,39.9,15.43,64.7,68.8,26.3,27.0,30.0,1.32,1.30,Canada,CA,CAN,124,60.0,-95.0,North America,,68.8,30.0
